[2026-04-24 07:44:41] [INFO] [SYSTEM] 🚀 Server ready on port 3001
[2026-04-24 07:44:53] [INFO] [SYSTEM] 🚀 Server ready on port 3001
[2026-04-24 07:44:54] [INFO] [AUTH] --- LOGIN ATTEMPT --- Username: admin
[2026-04-24 07:44:54] [INFO] [AUTH] => Đã tìm thấy user: admin
[2026-04-24 07:44:54] [INFO] [AUTH] => Kết quả so khớp mật khẩu cho admin: true
[2026-04-24 07:44:54] [INFO] [HTTP] POST /api/auth/login 200 111ms [Guest]
[2026-04-24 07:44:54] [INFO] [HTTP] GET /api/auth/me 200 6ms [User:u_admin]
[2026-04-24 07:44:54] [INFO] [HTTP] GET /api/worklogs/dashboard 200 11ms [User:u_admin]
[2026-04-24 07:44:54] [INFO] [HTTP] GET /api/worklogs/dashboard 304 3ms [User:u_admin]
[2026-04-24 07:44:56] [INFO] [HTTP] GET /api/users 200 5ms [User:u_admin]
[2026-04-24 07:44:56] [INFO] [HTTP] GET /api/users 304 3ms [User:u_admin]
[2026-04-24 07:45:01] [INFO] [SYSTEM] 🚀 Server ready on port 3001
[2026-04-24 07:45:19] [INFO] [HTTP] POST /api/users 201 136ms [User:u_admin]
[2026-04-24 07:45:19] [INFO] [HTTP] GET /api/users 200 4ms [User:u_admin]
[2026-04-24 07:45:24] [INFO] [HTTP] PUT /api/users/e1a1b9e9-b8b1-45b9-8115-8c6abb611022 200 7ms [User:u_admin]
[2026-04-24 07:45:24] [INFO] [HTTP] GET /api/users 200 3ms [User:u_admin]
[2026-04-24 07:48:18] [INFO] [HTTP] GET /api/worklogs/active 200 6ms [User:u_admin]
[2026-04-24 07:48:18] [INFO] [HTTP] GET /api/worklogs/active 304 3ms [User:u_admin]
